12.57,12.76,11.85,9.236,11.38,11.02,14.14,11.29,11.78,12.11,12.72,10.79,13.63,10.37,9.801,10.23
1.713,1.751,1.65,1.361,1.598,1.562,1.801,1.587,1.641,1.677,1.698,1.532,1.69,1.475,1.422,1.465
1,1,1.056,1.975,1.05,1,1,1.029,1.008,1,1,1,1,1,1.366,1
10.65,7.771,11.74,15.86,11.13,16.85,13.11,3.905,9.647,10.59,15.85,6.522,15.42,20.46,6.55,4.082
0.08307,0.0633,0.1387,0.1401,0.07897,0.05829,0.05572,0.06603,0.08486,0.04826,0.08248,0.08604,0.06287,0.09148,0.06544,0.06858
-0.5216,-0.2514,-0.2405,-2.575,-0.7301,-0.5769,-0.5002,-0.9858,-1.025,-0.2807,-0.9255,-0.9238,-0.4022,-0.3136,-1.056,-0.9411
10.84,4.677,13.75,49.24,11.68,11.19,11.23,9.258,12.46,7.712,14.96,8.792,10.91,19.31,12.53,9.22
