-10.2810,8.23446
 0.3688,-7.69402
 -6.4240,8.08397
 0.0000,-2.42737
 2.3330,8.62372
 -0.3330,2.87729
 3.3508,-7.22366
 -0.6670,8.14782
 4.6670,8.75779
 1.6670,-7.90733
 6.9824,-7.12336
 1.2972,-2.78516
 10.3503,7.93517
 1.0179,2.56424
 14.9833,-6.88457
 0.6670,7.82618
 -24.9559,-7.37434
 -2.3151,-7.75547
 -14.6380,-7.75228
 -2.6491,-2.39042
 -7.9100,-7.58205
 -2.9821,2.84748
 -5.4070,-7.39239
 -3.3330,8.0107
 -3.6313,-7.32451
 -0.9821,-8.07129
 -4.0356,-2.07007
 -1.2793,-2.62927
 -4.3330,3.04902
 -1.6491,2.65087
 -4.6492,8.29464
 -2.0000,7.85498
