22.537,66.435,32.372,45.99,19.013,74.548,21.406,37.889,64.745,73.819,34.873,33.151,18.965,59.547,43.913,65.383,144.01,74.504,11.724,50.282,15.459,38.669,8.6927,53.402,85.206,75.291,23.543,44.265,29.812,56.505,29.052,40.822
22.315,66.665,32.03,45.835,18.8,74.376,20.818,39.455,64.1,74.745,34.258,32.81,18.704,59.032,43.205,65.36,142.72,74.444,11.568,50.182,15.218,37.886,8.5565,53.303,85.075,75.756,23.056,44.745,29.144,56.076,28.666,41.124
22.095,66.794,31.69,45.671,18.589,74.193,20.25,40.978,63.459,75.564,33.657,32.472,18.431,58.515,42.507,65.316,141.44,74.361,11.351,50.069,14.932,37.12,8.4327,53.338,84.915,76.178,22.58,45.192,28.494,55.639,28.282,41.393
21.876,66.825,31.352,45.497,18.381,74,19.702,42.31,62.822,76.384,33.07,32.137,18.164,57.997,41.818,65.249,140.17,74.258,11.142,49.943,14.655,36.371,8.2794,53.355,84.727,76.558,22.116,45.606,27.862,55.195,27.902,41.629
21.659,66.761,31.016,45.313,18.174,73.797,19.175,43.565,62.189,77.13,32.496,31.804,17.902,57.478,41.139,65.162,138.9,74.134,10.94,49.805,14.386,35.638,8.1314,53.353,84.512,76.896,21.663,45.989,27.248,54.743,27.524,41.831
21.444,66.608,30.683,45.12,17.969,73.583,18.667,44.745,61.559,77.801,31.935,31.473,17.646,56.957,40.469,65.053,137.64,73.989,10.745,49.654,14.126,34.923,7.9888,53.333,84.27,77.194,21.222,46.34,26.652,54.284,27.149,42.002
21.23,66.368,30.352,44.918,17.767,73.359,18.178,45.854,60.934,78.402,31.387,31.144,17.395,56.434,39.808,64.924,136.39,73.824,10.557,49.492,13.874,34.223,7.8513,53.296,84.003,77.451,20.791,46.661,26.073,53.819,26.777,42.142
21.017,66.045,30.023,44.707,17.566,73.126,17.709,46.892,60.312,78.932,30.853,30.818,17.149,55.91,39.156,64.776,135.14,73.64,10.376,49.317,13.631,33.54,7.7189,53.24,83.709,77.67,20.371,46.953,25.511,53.346,26.408,42.252
20.806,65.643,29.697,44.488,17.367,72.883,17.258,47.862,59.695,79.394,30.33,30.495,16.909,55.384,38.513,64.607,133.9,73.436,10.201,49.132,13.396,32.872,7.5916,53.168,83.391,77.85,19.962,47.214,24.965,52.868,26.042,42.332
20.597,65.166,29.372,44.26,17.17,72.63,16.826,48.766,59.081,79.79,29.82,30.174,16.674,54.857,37.879,64.42,132.67,73.214,10.032,48.935,13.169,32.22,7.4692,53.08,83.049,77.993,19.563,47.448,24.436,52.383,25.679,42.383
20.39,64.618,29.05,44.024,16.975,72.368,16.412,49.607,58.471,80.12,29.323,29.855,16.444,54.328,37.254,64.215,131.44,72.973,9.8705,48.727,12.95,31.584,7.3516,52.975,82.683,78.099,19.175,47.653,23.923,51.892,25.319,42.407
